datetime,hs,direction,tz,tp,temperature,h_onethird,hmax,tav
2020-11-11 04:15:00+00,0.38,232,3.1,4.2,25.55,0.34,0.69,3.3
2020-11-11 04:45:00+00,0.4,232,3.1,4,25.5,0.35,0.64,3.2
2020-11-11 05:15:00+00,0.35,238,2.9,3.9,25.45,0.3,0.62,3
2020-11-11 05:45:00+00,0.34,232,2.9,3.9,25.5,0.28,0.49,3
2020-11-11 06:15:00+00,0.32,235,2.8,4,25.5,0.28,0.46,3
2020-11-11 06:45:00+00,0.35,245,2.8,3.7,25.5,0.3,0.5,3.1
2020-11-11 07:15:00+00,0.34,238,2.7,3.9,25.5,0.28,0.42,2.8
2020-11-11 07:45:00+00,0.36,233,2.6,3.5,25.5,0.29,0.47,2.8
2020-11-11 08:15:00+00,0.32,236,2.8,3.7,25.5,0.28,0.45,3
2020-11-11 08:45:00+00,0.31,236,2.8,3.7,25.55,0.26,0.45,3
2020-11-11 09:15:00+00,0.32,243,2.7,3.7,25.6,0.27,0.49,2.9
2020-11-11 09:45:00+00,0.33,236,2.7,3.6,25.6,0.28,0.46,2.9
2020-11-11 10:15:00+00,0.32,248,2.9,3.7,25.6,0.27,0.48,3
2020-11-11 10:45:00+00,0.35,235,2.8,3.6,25.6,0.3,0.55,3
2020-11-11 11:15:00+00,0.34,243,2.8,3.6,25.6,0.29,0.52,3
2020-11-11 11:45:00+00,0.36,257,3.1,3.6,25.6,0.32,0.55,3.3
2020-11-11 12:15:00+00,0.4,345,3.3,4.3,25.7,0.35,0.56,3.4
2020-11-11 12:45:00+00,0.49,336,3.4,4,25.7,0.43,0.95,3.6
2020-11-11 13:15:00+00,0.42,288,3.3,3.7,25.7,0.37,0.64,3.6
2020-11-11 13:45:00+00,0.42,297,3.4,3.7,25.75,0.37,0.63,3.5
2020-11-11 14:15:00+00,0.42,246,3.4,4.8,25.75,0.37,0.61,3.6
2020-11-11 14:45:00+00,0.43,248,3.4,4.5,25.75,0.37,0.68,3.5
2020-11-11 15:15:00+00,0.42,246,3.4,4.8,25.7,0.37,0.58,3.5
2020-11-11 15:45:00+00,0.42,249,3.2,5.3,25.7,0.38,0.72,3.5
2020-11-11 16:15:00+00,0.42,260,3.3,5.3,25.7,0.36,0.68,3.6
2020-11-11 16:45:00+00,0.41,252,3.5,5.3,25.7,0.36,0.59,3.6
2020-11-11 17:15:00+00,0.38,249,3.3,4.8,25.7,0.33,0.61,3.4
2020-11-11 17:45:00+00,0.38,252,3.4,5,25.7,0.34,0.6,3.5
2020-11-11 18:15:00+00,0.39,249,3.5,5.3,25.7,0.35,0.54,3.7
2020-11-11 18:45:00+00,0.37,246,3.5,5.3,25.7,0.33,0.69,3.6
2020-11-11 19:15:00+00,0.37,255,3.5,4.8,25.7,0.33,0.6,3.6
2020-11-11 19:45:00+00,0.36,253,3.5,5.6,25.7,0.32,0.55,3.7
2020-11-11 20:15:00+00,0.33,257,3.5,5.3,25.7,0.29,0.47,3.6
2020-11-11 20:45:00+00,0.37,252,3.5,5.3,25.7,0.32,0.8,3.8
2020-11-11 21:15:00+00,0.35,256,3.5,4.8,25.7,0.31,0.54,3.6
2020-11-11 21:45:00+00,0.33,253,3.5,5.3,25.7,0.29,0.53,3.7
2020-11-11 22:15:00+00,0.34,255,3.6,4.8,25.7,0.3,0.55,4
2020-11-11 22:45:00+00,0.36,22,3.5,3.7,25.7,0.33,0.6,3.8
2020-11-11 23:15:00+00,0.32,257,3.6,5.6,25.7,0.29,0.43,3.7
2020-11-11 23:45:00+00,0.33,255,3.7,5.3,25.7,0.3,0.5,4
2020-11-12 00:15:00+00,0.31,255,3.6,4.8,25.7,0.27,0.49,3.8
2020-11-12 00:45:00+00,0.35,257,3.9,5,25.7,0.31,0.56,4.1
2020-11-12 01:15:00+00,0.34,253,3.9,5.6,25.7,0.32,0.58,4
2020-11-12 01:45:00+00,0.37,259,3.6,5.6,25.7,0.34,0.65,3.8
2020-11-12 02:15:00+00,0.37,255,3.8,5.6,25.7,0.33,0.71,4
2020-11-12 02:45:00+00,0.37,256,3.8,5.3,25.7,0.34,0.59,4
2020-11-12 03:15:00+00,0.4,257,3.9,5.6,25.7,0.37,0.74,4.1
2020-11-12 03:45:00+00,0.41,255,4.2,5.3,25.7,0.39,0.55,4.5
2020-11-12 04:15:00+00,0.4,259,4.1,5.6,25.7,0.37,0.61,4.2
2020-11-12 04:45:00+00,0.42,262,4.1,5.3,25.7,0.38,0.7,4.3
2020-11-12 05:15:00+00,0.41,260,3.9,5.3,25.7,0.37,0.62,3.9
2020-11-12 05:45:00+00,0.38,259,4.1,5,25.7,0.35,0.55,4.2
2020-11-12 06:15:00+00,0.36,256,4.1,5.3,25.7,0.33,0.55,4.1
2020-11-12 06:45:00+00,0.37,267,4.1,5.6,25.7,0.34,0.58,4.2
2020-11-12 07:15:00+00,0.4,260,3.9,5,25.7,0.36,0.6,4
2020-11-12 07:45:00+00,0.38,260,4.1,5,25.75,0.35,0.71,4.2
2020-11-12 08:15:00+00,0.34,260,3.9,5,25.75,0.31,0.57,4.1
2020-11-12 08:45:00+00,0.36,264,4.2,5,25.8,0.34,0.54,4.4
2020-11-12 09:15:00+00,0.37,259,4.1,5,25.85,0.34,0.61,4.1
2020-11-12 09:45:00+00,0.35,257,4.2,5,25.9,0.32,0.7,4.3
2020-11-12 10:15:00+00,0.33,259,4.2,5.3,25.9,0.31,0.57,4.3
2020-11-12 10:45:00+00,0.35,257,4,5,25.9,0.31,0.52,4.2
2020-11-12 11:15:00+00,0.35,259,4,5,25.85,0.32,0.55,4
2020-11-12 11:45:00+00,0.36,266,3.2,4.8,25.85,0.31,0.58,3.5
2020-11-12 12:15:00+00,0.39,259,2.9,4.8,25.85,0.33,0.59,3.2
2020-11-12 12:45:00+00,0.41,253,2.7,5,25.85,0.34,0.54,2.9
2020-11-12 13:15:00+00,0.43,264,2.7,5,25.8,0.36,0.59,3
2020-11-12 13:45:00+00,0.49,354,2.7,2.4,25.8,0.4,0.77,2.9
2020-11-12 14:15:00+00,0.51,357,2.8,2.8,25.75,0.43,0.74,2.9
2020-11-12 14:45:00+00,0.55,1,2.8,2.9,25.75,0.48,0.85,3
2020-11-12 15:15:00+00,0.59,6,2.9,3.1,25.75,0.5,1.03,3
2020-11-12 15:45:00+00,0.56,6,2.9,3,25.75,0.48,0.99,3.1
2020-11-12 16:15:00+00,0.6,7,2.9,3.2,25.75,0.52,0.91,3.1
2020-11-12 16:45:00+00,0.6,359,3,3.6,25.7,0.54,1.03,3.1
2020-11-12 17:15:00+00,0.6,8,3,3.5,25.7,0.52,0.89,3.1
2020-11-12 17:45:00+00,0.6,6,3,3.3,25.7,0.5,0.98,3
2020-11-12 18:15:00+00,0.58,356,3,3.6,25.7,0.51,1.06,3.1
2020-11-12 18:45:00+00,0.55,0,3,3.6,25.7,0.47,0.88,3.1
2020-11-12 19:15:00+00,0.49,352,2.9,3.6,25.7,0.42,0.81,3.1
2020-11-12 19:45:00+00,0.54,339,3,3.7,25.65,0.48,0.84,3.2
2020-11-12 20:15:00+00,0.49,347,2.9,3.6,25.7,0.42,0.69,3.1
2020-11-12 20:45:00+00,0.54,354,3,3.5,25.65,0.48,0.93,3.1
2020-11-12 21:15:00+00,0.53,354,2.9,3.7,25.65,0.46,0.84,3.1
2020-11-12 21:45:00+00,0.57,4,2.9,3.6,25.65,0.49,0.94,3.1
2020-11-12 22:15:00+00,0.53,354,2.9,3.6,25.65,0.45,0.8,2.9
2020-11-12 22:45:00+00,0.51,3,2.9,3.5,25.65,0.44,0.8,3
